setting,regime,signal,arm,seed,rep,device,test_acc,test_auc,test_dp,test_eo,secs
pokec_z,clustered,uniform,within,27,0,cuda,0.681605611847233,0.7635282802839478,0.04260441943172577,0.04600000000000004,5.8
pokec_z,clustered,uniform,within,27,1,cuda,0.6726422447388932,0.7573992824975193,0.020764173226228255,0.0377142857142857,4.7
pokec_z,clustered,uniform,within,27,2,cuda,0.6660171473109898,0.757317456682696,0.020928274355566767,0.04200000000000004,4.2
pokec_z,clustered,uniform,within,27,3,cuda,0.6660171473109898,0.7573147088008549,0.020928274355566767,0.04200000000000004,4.5
pokec_z,clustered,uniform,within,27,4,cuda,0.6703039750584567,0.7574658423021143,0.022943221009248838,0.04428571428571437,3.4
pokec_z,clustered,uniform,within,27,5,cuda,0.6660171473109898,0.7573211205251508,0.020928274355566767,0.04200000000000004,3.8
pokec_z,clustered,uniform,within,27,6,cuda,0.6831644583008574,0.7392831081596825,0.008223887744066793,0.005142857142857116,4.9
pokec_z,clustered,uniform,within,27,7,cuda,0.6660171473109898,0.7573205098847416,0.020928274355566767,0.04200000000000004,3.1
pokec_z,clustered,uniform,within,27,8,cuda,0.6660171473109898,0.7574481337302496,0.01973921371347409,0.040857142857142925,2.7
pokec_z,clustered,uniform,within,27,9,cuda,0.6991426344505066,0.7617806274330203,0.037397571303285804,0.0377142857142857,3.8
pokec_z,clustered,uniform,across,27,0,cuda,0.6660171473109898,0.7573217311655599,0.020928274355566767,0.04200000000000004,3.6
pokec_z,clustered,uniform,across,28,0,cuda,0.6625097427903351,0.7634119532860087,0.03923362082416426,0.044571428571428595,4.0
pokec_z,clustered,uniform,across,29,0,cuda,0.6742010911925176,0.7424691244943135,0.037799753579287665,0.039142857142857146,3.7
pokec_z,clustered,uniform,across,30,0,cuda,0.6753702260327358,0.7617629188611557,0.022589462017314044,0.022285714285714242,4.1
pokec_z,clustered,uniform,across,31,0,cuda,0.6921278254091972,0.7622813525685063,0.05222585695761883,0.04200000000000004,3.8
pokec_z,clustered,uniform,across,32,0,cuda,0.6753702260327358,0.7568845126326235,0.02489360328417467,0.03942857142857137,3.5
pokec_z,clustered,uniform,across,33,0,cuda,0.676539360872954,0.7524653079917564,0.018478863236504717,0.02657142857142858,3.9
pokec_z,clustered,uniform,across,34,0,cuda,0.6999220576773187,0.7636827723074574,0.050014526985220076,0.041714285714285704,4.3
pokec_z,clustered,uniform,across,35,0,cuda,0.6851130163678878,0.7525849935119456,0.04133465331618791,0.056571428571428606,3.5
pokec_z,clustered,uniform,across,36,0,cuda,0.6819953234606392,0.7552950156476604,0.030633107537353266,0.04771428571428571,3.6
pokec_z_g,mixed,uniform,within,27,0,cuda,0.7049883086515978,0.7533458514617205,0.03685881948939562,0.006116599819748325,3.6
pokec_z_g,mixed,uniform,within,27,1,cuda,0.6979734996102884,0.752700404549271,0.05658282202995796,0.023550190716607577,3.7
pokec_z_g,mixed,uniform,within,27,2,cuda,0.6964146531566641,0.7536127013205098,0.06701736152263565,0.03586881772788819,4.5
pokec_z_g,mixed,uniform,within,27,3,cuda,0.7014809041309431,0.7590980841157163,0.05697119986871735,0.012468124911903078,3.4
pokec_z_g,mixed,uniform,within,27,4,cuda,0.7084957131722526,0.7528429890848027,0.06270509115331196,0.02440232875015491,3.8
pokec_z_g,mixed,uniform,within,27,5,cuda,0.6999220576773187,0.754895046179681,0.049847900541237,0.029615534113285213,4.1
pokec_z_g,mixed,uniform,within,27,6,cuda,0.7053780202650038,0.7568381039615296,0.06463907907652383,0.03387408859672725,4.4
pokec_z_g,mixed,uniform,within,27,7,cuda,0.7053780202650038,0.7552696740706816,0.050841029474778254,0.012844005347753429,4.1
pokec_z_g,mixed,uniform,within,27,8,cuda,0.7042088854247857,0.7538835203419586,0.047503654337645584,0.015400419448395541,4.2
pokec_z_g,mixed,uniform,within,27,9,cuda,0.6964146531566641,0.7536099534386688,0.06701736152263565,0.03586881772788819,3.7
pokec_z_g,mixed,uniform,across,27,0,cuda,0.6952455183164459,0.7547613159300817,0.05821838504107141,0.03956355155755453,3.4
pokec_z_g,mixed,uniform,across,28,0,cuda,0.6971940763834762,0.754796122433402,0.05083312820419317,0.013785842121674219,4.3
pokec_z_g,mixed,uniform,across,29,0,cuda,0.6964146531566641,0.7562732615830853,0.04424833085658886,0.013315991576861141,3.2
pokec_z_g,mixed,uniform,across,30,0,cuda,0.70576773187841,0.7684439355774368,0.06342775351682511,0.018153316504141093,3.3
pokec_z_g,mixed,uniform,across,31,0,cuda,0.7014809041309431,0.762873979085566,0.04943946563099244,0.030563777940089798,2.9
pokec_z_g,mixed,uniform,across,32,0,cuda,0.7030397505845675,0.7614820242729563,0.050943138202339366,0.016632709286382497,3.4
pokec_z_g,mixed,uniform,across,33,0,cuda,0.6975837879968823,0.7619711472406686,0.05652872871595238,0.026014770392581488,3.8
pokec_z_g,mixed,uniform,across,34,0,cuda,0.6831644583008574,0.7416917792534921,0.05722343273739516,0.028287138482041008,3.5
pokec_z_g,mixed,uniform,across,35,0,cuda,0.7073265783320343,0.7621421265552248,0.04980596302813156,0.01729690710200449,3.9
pokec_z_g,mixed,uniform,across,36,0,cuda,0.7018706157443492,0.7599523700480879,0.047123177769471336,0.022414006671877762,3.9
pokec_n,clustered,uniform,within,27,0,cuda,0.6972727272727273,0.7393045915952592,0.06962930175530013,0.10803036038010244,3.4
pokec_n,clustered,uniform,within,27,1,cuda,0.7027272727272728,0.7376191090855534,0.06778781010971441,0.10375122019244182,3.3
pokec_n,clustered,uniform,within,27,2,cuda,0.7027272727272728,0.7376381400613625,0.067091180917216,0.10516564734944317,3.0
pokec_n,clustered,uniform,within,27,3,cuda,0.7022727272727273,0.7376191090855534,0.06641229429128248,0.10375122019244182,3.6
pokec_n,clustered,uniform,within,27,4,cuda,0.7027272727272728,0.7376182816518225,0.06778781010971441,0.10375122019244182,3.6
pokec_n,clustered,uniform,within,27,5,cuda,0.7022727272727273,0.7376269697059963,0.06641229429128248,0.10375122019244182,3.4
pokec_n,clustered,uniform,within,27,6,cuda,0.6972727272727273,0.7393045915952592,0.06962930175530013,0.10803036038010244,3.6
pokec_n,clustered,uniform,within,27,7,cuda,0.7027272727272728,0.7376199365192841,0.06778781010971441,0.10375122019244182,3.4
pokec_n,clustered,uniform,within,27,8,cuda,0.7027272727272728,0.7376199365192841,0.06778781010971441,0.10375122019244182,3.6
pokec_n,clustered,uniform,within,27,9,cuda,0.7027272727272728,0.737620763953015,0.06778781010971441,0.10375122019244182,4.0
pokec_n,clustered,uniform,across,27,0,cuda,0.705,0.7362463965261022,0.06627035375876272,0.10381098472020239,3.2
pokec_n,clustered,uniform,across,28,0,cuda,0.7013636363636364,0.7368636620893033,0.06946961865621532,0.09963942068251086,3.0
pokec_n,clustered,uniform,across,29,0,cuda,0.7027272727272728,0.7368512505833408,0.07182564473218528,0.1080064545689981,3.4
pokec_n,clustered,uniform,across,30,0,cuda,0.6981818181818182,0.7366518390542102,0.08000776937651688,0.11787158595135167,2.9
pokec_n,clustered,uniform,across,31,0,cuda,0.6895454545454546,0.7349514627373493,0.08277654357994568,0.11782377432914315,3.1
pokec_n,clustered,uniform,across,32,0,cuda,0.7031818181818181,0.738712976477714,0.06843121160251792,0.10517760025499528,3.9
pokec_n,clustered,uniform,across,33,0,cuda,0.6977272727272728,0.7344483830290032,0.07699059924117846,0.10809012490786302,3.2
pokec_n,clustered,uniform,across,34,0,cuda,0.7036363636363636,0.7329875487772184,0.06371449035411364,0.09245970874753467,3.2
pokec_n,clustered,uniform,across,35,0,cuda,0.7018181818181818,0.7390787021867419,0.06389191601976335,0.10226507560212761,3.2
pokec_n,clustered,uniform,across,36,0,cuda,0.6972727272727273,0.7349634605264465,0.07596993475404601,0.11643325298324597,3.3
pokec_n_g,mixed,uniform,within,27,0,cuda,0.6422727272727272,0.7102732517152701,0.017625127387179362,0.05657133031466732,4.1
pokec_n_g,mixed,uniform,within,27,1,cuda,0.6363636363636364,0.7091897272447449,0.01803827499605626,0.0468776867083166,4.7
pokec_n_g,mixed,uniform,within,27,2,cuda,0.6709090909090909,0.7330326439155488,0.008792114973554366,0.06265403794348601,3.7
pokec_n_g,mixed,uniform,within,27,3,cuda,0.5977272727272728,0.6745256322421137,0.006292363279440605,0.03946237175445633,5.0
pokec_n_g,mixed,uniform,within,27,4,cuda,0.6663636363636364,0.7331000797646117,0.012993700959587517,0.05733077319883073,4.2
pokec_n_g,mixed,uniform,within,27,5,cuda,0.5959090909090909,0.7221010031806553,0.03151857202832109,0.04595345904740067,3.4
pokec_n_g,mixed,uniform,within,27,6,cuda,0.6063636363636363,0.7186489496556221,0.015290634736616404,0.05774631741846736,3.6
pokec_n_g,mixed,uniform,within,27,7,cuda,0.6686363636363636,0.7214659477922413,0.01019848612700408,0.07044907433942804,3.8
pokec_n_g,mixed,uniform,within,27,8,cuda,0.5959090909090909,0.7220964522951356,0.03151857202832109,0.04595345904740067,3.8
pokec_n_g,mixed,uniform,within,27,9,cuda,0.6654545454545454,0.7272646033779154,0.013209038501184045,0.04591047171433482,3.0
pokec_n_g,mixed,uniform,across,27,0,cuda,0.6404545454545455,0.6998521375923002,0.0476171398667411,0.031638677136470506,5.6
pokec_n_g,mixed,uniform,across,28,0,cuda,0.6977272727272728,0.7376910958201358,0.030957692850209384,0.09933656215968367,3.6
pokec_n_g,mixed,uniform,across,29,0,cuda,0.6881818181818182,0.7351649406399041,0.02621108587711235,0.07443973175904173,3.8
pokec_n_g,mixed,uniform,across,30,0,cuda,0.6568181818181819,0.7386310605383615,0.003845194008274655,0.05068206568464495,4.0
pokec_n_g,mixed,uniform,across,31,0,cuda,0.6027272727272728,0.7155837213997531,0.0479785396943041,0.0018197970997879676,5.3
pokec_n_g,mixed,uniform,across,32,0,cuda,0.6222727272727273,0.7336143298283241,0.0014664653511045067,0.0537484954433427,4.7
