block,cell,method,dataset,pairing,coordinate,n_splits,n_matched_units,tau_a,tau_b,delta,abs_delta,max_unit_abs_delta,n_units_changed,ci_low,ci_high,ci_excludes_zero,bootstrap_seed,bootstrap_reps
B,SFG_german,SFG,german,controlled vs published horizon (re-execution),dAUC,6,30,-0.011873015873015876,-0.01511365079365079,-0.0032406349206349143,0.0032406349206349143,0.1365333333333334,30,-0.034205079365079376,0.02020082539682541,False,20260914,10000
B,SFG_german,SFG,german,controlled vs published horizon (re-execution),negDP,6,30,0.07339332584567933,0.027683462149950367,-0.045709863695728964,0.045709863695728964,0.49734706616729096,30,-0.12183656927728173,0.03238966724023381,False,20260914,10000
B,SFG_german,SFG,german,controlled vs published horizon (re-execution),negEO,6,30,0.06468968161141524,0.03486848740678303,-0.02982119420463221,0.02982119420463221,0.4279999999999999,30,-0.0906545224583627,0.034989299736886484,False,20260914,10000
B,SFG_credit,SFG,credit,controlled vs published horizon (re-execution),dAUC,6,30,-0.009024333368179463,-0.00929456289893964,-0.0002702295307601762,0.0002702295307601762,0.015930341718799146,30,-0.002424353532842421,0.0019183928746432904,False,20260914,10000
B,SFG_credit,SFG,credit,controlled vs published horizon (re-execution),negDP,6,30,-0.0014645119121810862,-0.0009544332648502937,0.0005100786473307933,0.0005100786473307933,0.09062859980719501,30,-0.008193606380593637,0.012820516132761318,False,20260914,10000
B,SFG_credit,SFG,credit,controlled vs published horizon (re-execution),negEO,6,30,0.0011074170919870329,-0.00033286302361075314,-0.0014402801155977863,0.0014402801155977863,0.056174505586539,30,-0.008656221139897238,0.007015242995887422,False,20260914,10000
