seed,family,dataset,comparison,pairing,a_method,a_protocol,a_selector,b_method,b_protocol,b_selector,coordinate,n_units,delta_mean,lo,hi,sign_stability,excludes_zero,status
20260924,configuration,pokec_n,FairGNN: default -> upstreamGCN,same_split_different_run,FairGNN,controlled,common_bce,FairGNN-upstreamGCN,controlled,common_bce,negEO,30,0.027463433333333336,-0.010883464166666666,0.06797956416666665,0.9063,False,ok
20260924,configuration,pokec_z,FairGNN: default -> upstreamGCN,same_split_different_run,FairGNN,controlled,common_bce,FairGNN-upstreamGCN,controlled,common_bce,dAUC,30,-0.03834400000000001,-0.04577074083333335,-0.031051590833333347,1.0,True,ok
20260924,configuration,pokec_z,FairGNN: default -> upstreamGCN,same_split_different_run,FairGNN,controlled,common_bce,FairGNN-upstreamGCN,controlled,common_bce,negDP,30,0.04607776666666666,0.015596185000000004,0.07725658916666668,0.999,True,ok
20260924,configuration,pokec_z,FairGNN: default -> upstreamGCN,same_split_different_run,FairGNN,controlled,common_bce,FairGNN-upstreamGCN,controlled,common_bce,negEO,30,0.04312746666666666,0.013994893333333334,0.07101026249999999,0.9987,True,ok
20260924,configuration,bail,FairSIN: GCN -> GIN,same_split_different_run,FairSIN-GCN,controlled,common_bce,FairSIN-GIN,controlled,common_bce,dAUC,30,0.0032893666666666747,-0.019712945000000027,0.02553412333333337,0.6124,False,ok
20260924,configuration,bail,FairSIN: GCN -> GIN,same_split_different_run,FairSIN-GCN,controlled,common_bce,FairSIN-GIN,controlled,common_bce,negDP,30,-0.0048224999999999995,-0.012353460833333333,0.0023466358333333313,0.9041,False,ok
20260924,configuration,bail,FairSIN: GCN -> GIN,same_split_different_run,FairSIN-GCN,controlled,common_bce,FairSIN-GIN,controlled,common_bce,negEO,30,-0.005038666666666668,-0.014038217500000004,0.0033247774999999955,0.8749,False,ok
20260924,configuration,credit,FairSIN: GCN -> GIN,same_split_different_run,FairSIN-GCN,controlled,common_bce,FairSIN-GIN,controlled,common_bce,dAUC,30,0.011337266666666655,-0.004279827500000018,0.03829842249999997,0.8821,False,ok
20260924,configuration,credit,FairSIN: GCN -> GIN,same_split_different_run,FairSIN-GCN,controlled,common_bce,FairSIN-GIN,controlled,common_bce,negDP,30,-0.016068833333333334,-0.03860087250000001,0.00844474083333333,0.9073,False,ok
20260924,configuration,credit,FairSIN: GCN -> GIN,same_split_different_run,FairSIN-GCN,controlled,common_bce,FairSIN-GIN,controlled,common_bce,negEO,30,-0.0230935,-0.041236668333333344,-0.002621849166666671,0.9872,True,ok
20260924,configuration,german,FairSIN: GCN -> GIN,same_split_different_run,FairSIN-GCN,controlled,common_bce,FairSIN-GIN,controlled,common_bce,dAUC,30,0.10680646666666667,0.06579443166666667,0.1483357783333333,1.0,True,ok
20260924,configuration,german,FairSIN: GCN -> GIN,same_split_different_run,FairSIN-GCN,controlled,common_bce,FairSIN-GIN,controlled,common_bce,negDP,30,-0.17757916666666668,-0.2638298908333333,-0.0928019908333333,1.0,True,ok
20260924,configuration,german,FairSIN: GCN -> GIN,same_split_different_run,FairSIN-GCN,controlled,common_bce,FairSIN-GIN,controlled,common_bce,negEO,30,-0.14141683333333335,-0.21827890250000007,-0.0657201041666667,1.0,True,ok
20260924,configuration,pokec_n,FairSIN: GCN -> GIN,same_split_different_run,FairSIN-GCN,controlled,common_bce,FairSIN-GIN,controlled,common_bce,dAUC,30,0.0025652333333333315,-0.005890865833333345,0.013549966666666654,0.6493,False,ok
20260924,configuration,pokec_n,FairSIN: GCN -> GIN,same_split_different_run,FairSIN-GCN,controlled,common_bce,FairSIN-GIN,controlled,common_bce,negDP,30,0.008698100000000002,-0.00797872083333333,0.025657619166666652,0.8562,False,ok
20260924,configuration,pokec_n,FairSIN: GCN -> GIN,same_split_different_run,FairSIN-GCN,controlled,common_bce,FairSIN-GIN,controlled,common_bce,negEO,30,0.0013329333333333313,-0.017254905000000008,0.018359865833333322,0.5637,False,ok
20260924,configuration,pokec_z,FairSIN: GCN -> GIN,same_split_different_run,FairSIN-GCN,controlled,common_bce,FairSIN-GIN,controlled,common_bce,dAUC,30,0.004089033333333348,-0.0044524400000000046,0.013485176666666699,0.8179,False,ok
20260924,configuration,pokec_z,FairSIN: GCN -> GIN,same_split_different_run,FairSIN-GCN,controlled,common_bce,FairSIN-GIN,controlled,common_bce,negDP,30,-0.013645333333333332,-0.03237489083333332,0.005605720833333328,0.9228,False,ok
