method,configuration,dataset,store_name,n_units,dAUC_mean,dAUC_lo,dAUC_hi,dAUC_frozen_sign,dAUC_frozen_resolved,dAUC_sign_majority,dAUC_sign_pointest,dAUC_sign_boot,dAUC_interval_excl0,dAUC_mag_ok,dAUC_resolved_majority,dAUC_resolved_pointest,dAUC_resolved_boot,negDP_mean,negDP_lo,negDP_hi,negDP_frozen_sign,negDP_frozen_resolved,negDP_sign_majority,negDP_sign_pointest,negDP_sign_boot,negDP_interval_excl0,negDP_mag_ok,negDP_resolved_majority,negDP_resolved_pointest,negDP_resolved_boot,negEO_mean,negEO_lo,negEO_hi,negEO_frozen_sign,negEO_frozen_resolved,negEO_sign_majority,negEO_sign_pointest,negEO_sign_boot,negEO_interval_excl0,negEO_mag_ok,negEO_resolved_majority,negEO_resolved_pointest,negEO_resolved_boot
FairSIN,GCN,pokec_n,FairSIN-GCN,30,0.0027522666666666734,-0.0019310083333333305,0.009690632499999999,0.6,False,0.6,0.6,0.7704,False,False,False,False,False,-0.0019085333333333358,-0.018619698333333334,0.010610764166666663,0.5,False,0.5,0.5,0.5664,False,False,False,False,False,-0.000503866666666668,-0.01301029916666667,0.010600562499999994,0.5666666666666667,False,0.5666666666666667,0.43333333333333335,0.5262,False,False,False,False,False
FairSIN,GCN,pokec_z,FairSIN-GCN,30,0.001221999999999975,-0.001069768333333373,0.003792274166666658,0.5333333333333333,False,0.5333333333333333,0.5333333333333333,0.8317,False,False,False,False,False,0.017816600000000002,0.010474570000000002,0.027524368333333327,0.8666666666666667,True,0.8666666666666667,0.8666666666666667,1.0,True,True,True,True,True,0.014248833333333332,0.008240448333333332,0.021273295,0.8666666666666667,True,0.8666666666666667,0.8666666666666667,1.0,True,True,True,True,True
FairVGNN,default,bail,FairVGNN,30,-0.042138033333333325,-0.06186672916666666,-0.026465996666666665,1.0,True,1.0,1.0,1.0,True,True,True,True,True,0.006893833333333334,-0.002815234166666667,0.016580177499999998,0.6666666666666666,False,0.6666666666666666,0.6666666666666666,0.9155,False,False,False,False,False,-0.0054177999999999995,-0.01191833083333333,0.0011206774999999987,0.6333333333333333,False,0.6333333333333333,0.6333333333333333,0.9486,False,False,False,False,False
FairVGNN,default,credit,FairVGNN,30,-0.011991833333333335,-0.015879911666666663,-0.008959868333333327,1.0,True,1.0,1.0,1.0,True,True,True,True,True,-0.00013323333333333567,-0.04060020583333334,0.03299469749999997,0.5333333333333333,False,0.5333333333333333,0.4666666666666667,0.4783,False,False,False,False,False,-0.013855766666666665,-0.06023810416666665,0.020790637499999993,0.5333333333333333,False,0.5333333333333333,0.4666666666666667,0.7399,False,True,False,False,False
FairVGNN,default,german,FairVGNN,30,0.01254093333333333,-0.01672906833333334,0.03763039916666666,0.6333333333333333,False,0.6333333333333333,0.6333333333333333,0.8145,False,True,False,False,False,-0.0028977666666666732,-0.10707176666666668,0.10435182249999989,0.6,False,0.6,0.6,0.5249,False,False,False,False,False,-0.002549400000000012,-0.11354856250000005,0.11469321499999999,0.5,False,0.5,0.5,0.5224,False,False,False,False,False
GEAR,default,bail,GEAR,30,0.002620666666666664,-0.0008951533333333253,0.006272923333333327,0.6,False,0.6,0.6,0.9245,False,False,False,False,False,0.01600026666666667,-0.019756211666666662,0.05004969416666667,0.6666666666666666,False,0.6666666666666666,0.6666666666666666,0.8043,False,True,False,False,False,0.02459843333333333,-0.00027909250000000103,0.04772221749999998,0.8666666666666667,False,0.8666666666666667,0.8666666666666667,0.9743,False,True,False,False,False
NIFTY,default,bail,NIFTY,30,-0.025871366666666666,-0.049765479999999994,-0.0072668216666666565,0.6333333333333333,False,0.6333333333333333,0.6333333333333333,0.9995,True,True,False,False,True,0.0009531333333333336,-0.006422578333333332,0.008240227499999997,0.5,False,0.5,0.5,0.5937,False,False,False,False,False,-0.00043586666666666667,-0.004914428333333334,0.00403632,0.5333333333333333,False,0.5333333333333333,0.5333333333333333,0.5759,False,False,False,False,False
NIFTY,default,credit,NIFTY,30,-0.023084199999999985,-0.03669223666666663,-0.012867755833333334,1.0,True,1.0,1.0,1.0,True,True,True,True,True,0.016686899999999998,0.006332641666666669,0.027939892500000004,0.8,True,0.8,0.8,0.9987,True,True,True,True,True,0.01630086666666667,0.005289176666666669,0.028566348333333325,0.7666666666666667,True,0.7666666666666667,0.7666666666666667,0.9987,True,True,True,True,True
NIFTY,default,german,NIFTY,30,-0.03058913333333333,-0.05629975416666664,-0.007125535000000006,0.6666666666666666,False,0.6666666666666666,0.6666666666666666,0.996,True,True,False,False,True,-0.006451833333333328,-0.04081747500000002,0.0318901108333333,0.6,False,0.6,0.6,0.651,False,False,False,False,False,0.0042447,-0.035616375,0.04521356083333331,0.5666666666666667,False,0.5666666666666667,0.43333333333333335,0.58,False,False,False,False,False
SFG,default,bail,SFG,30,0.002120766666666655,-0.008066759166666668,0.012424028333333316,0.5666666666666667,False,0.5666666666666667,0.5666666666666667,0.651,False,False,False,False,False,0.020155333333333334,2.656666666666753e-05,0.044064345833333324,0.7333333333333333,False,0.7333333333333333,0.7333333333333333,0.9751,True,True,False,False,True,0.007004733333333333,-0.007398683333333333,0.02646974,0.5,False,0.5,0.5,0.769,False,False,False,False,False
SFG,default,credit,SFG,30,-0.0090243,-0.012224899999999978,-0.0062227458333333355,0.9666666666666668,False,0.9666666666666667,0.9666666666666667,1.0,True,False,False,False,False,-0.0014645333333333345,-0.02234149000000001,0.01531072916666666,0.5333333333333333,False,0.5333333333333333,0.5333333333333333,0.5297,False,False,False,False,False,0.0011073333333333332,-0.011772459166666669,0.013422954166666647,0.6,False,0.6,0.6,0.574,False,False,False,False,False
SFG,default,german,SFG,30,-0.01187316666666666,-0.02919960416666668,0.0037181866666666755,0.5666666666666667,False,0.5666666666666667,0.5666666666666667,0.9305,False,True,False,False,False,0.07339333333333334,0.018759716666666672,0.12727270750000003,0.7,False,0.7,0.7,0.9957,True,True,False,False,True,0.0646897,0.017761044999999996,0.11442710083333335,0.7333333333333333,False,0.7333333333333333,0.7333333333333333,0.9965,True,True,False,False,True
