pair_id,method,dataset,primary_configuration,alternative_configuration,varied_factor,coordinate,n_splits,n_matched_units,tau_primary,tau_alternative,delta_attr,ci_low,ci_high,ci_excludes_zero,bootstrap_seed,bootstrap_reps
P01,BIND,bail,1pct,10pct,budget,dAUC,6,30,0.0007436080320891528,-0.0009330622671601378,-0.0016766702992492906,-0.006620558743631511,0.0027494014943843107,False,20260914,10000
P01,BIND,bail,1pct,10pct,budget,negDP,6,30,0.0005513076003535531,0.00325887807491695,0.0027075704745633962,-0.0017063020249051088,0.00797375196614934,False,20260914,10000
P01,BIND,bail,1pct,10pct,budget,negEO,6,30,-0.0006720886592446126,-0.0001717957713975628,0.0005002928878470498,-0.0049268468811934744,0.006577422104984289,False,20260914,10000
P02,BIND,income,1pct,10pct,budget,dAUC,6,30,-0.00039890884553231973,-0.00045187362181119036,-5.29647762788706e-05,-0.0007629712581722657,0.0007647747631420783,False,20260914,10000
P02,BIND,income,1pct,10pct,budget,negDP,6,30,0.04233838199071894,0.052974741718479615,0.010636359727760678,0.0071416447660256075,0.014727823364800054,True,20260914,10000
P02,BIND,income,1pct,10pct,budget,negEO,6,30,0.05426966250573333,0.06971662593528913,0.01544696342955579,0.0066338400260485385,0.02469249328497517,True,20260914,10000
P03,BeMap,bail,default,GAT,encoder,dAUC,6,30,-0.13926478721330915,-0.09664649039967595,0.04261829681363318,0.01745190997253628,0.07988322691320268,True,20260914,10000
P03,BeMap,bail,default,GAT,encoder,negDP,6,30,0.059653184001909734,0.062080089261906786,0.0024269052599970604,-0.009367608792701853,0.013898736917006882,False,20260914,10000
P03,BeMap,bail,default,GAT,encoder,negEO,6,30,0.024302717449657976,0.03663845732765265,0.01233573987799467,-0.00494065395252402,0.03296626360114837,False,20260914,10000
P04,BeMap,credit,default,GAT,encoder,dAUC,6,30,-0.035780285254646965,-0.009132072591273044,0.026648212663373926,0.016081301026323533,0.03712931634121648,True,20260914,10000
P04,BeMap,credit,default,GAT,encoder,negDP,6,30,0.0224973836925205,0.028989667108674955,0.006492283416154456,-0.04014454018614816,0.053720822509424275,False,20260914,10000
P04,BeMap,credit,default,GAT,encoder,negEO,6,30,0.01621953950236466,0.021924580323691788,0.005705040821327138,-0.04462421020726789,0.056407255993152994,False,20260914,10000
P05,BeMap,pokec_z,default,GAT,encoder,dAUC,6,30,-0.01507648894607736,-0.004887343590763727,0.010189145355313633,0.0049597948916886795,0.015407496599093051,True,20260914,10000
P05,BeMap,pokec_z,default,GAT,encoder,negDP,6,30,-0.06677784952252212,-0.03791201960783487,0.028865829914687245,-0.03097791254413717,0.09971107215088773,False,20260914,10000
P05,BeMap,pokec_z,default,GAT,encoder,negEO,6,30,-0.0397299099900194,-0.01897621439571858,0.020753695594300826,-0.02711526622188534,0.07430650801488049,False,20260914,10000
P06,FairGNN,pokec_n,default,upstreamGAT,upstream,dAUC,6,30,-0.005895447951256361,0.004706302460421827,0.010601750411678188,-0.0033898753772380464,0.026921137737898962,False,20260914,10000
P06,FairGNN,pokec_n,default,upstreamGAT,upstream,negDP,6,30,-0.003922356821659583,0.048300305191206386,0.05222266201286597,-0.02223408787610371,0.1353587149132438,False,20260914,10000
P06,FairGNN,pokec_n,default,upstreamGAT,upstream,negEO,6,30,3.173030202510002e-05,0.04046819370927649,0.0404364634072514,-0.032564662356013935,0.11829990935928457,False,20260914,10000
