arm,split_id,run_id,seed,hidden,lr,epochs,feature_normalize,bc_epoch,test_auc,test_auc_neg_score,test_dp,test_eo,val_auc_at_bc,val_auc_min,val_auc_max,val_auc_final,val_bce_at_bc,val_bce_final,n_val_epochs_auc_below_half,n_val_epochs
probe,25,0,27,64,0.01,1000,False,6,0.4894857142857143,0.5105142857142857,0.0,0.0,0.5417142857142857,0.44525714285714285,0.6599619047619047,0.5350857142857143,0.6590796483978731,1.6943269132846868,85,1001
probe_norm,25,0,27,64,0.01,1000,True,0,0.4027428571428571,0.5972571428571428,0.0,0.0,0.3728,0.3728,0.6093714285714286,0.6038857142857142,0.6556624262720221,0.9213198055448338,25,1001
repro,25,1,28,16,0.001,200,False,200,0.46125714285714287,0.5387428571428572,0.058378705384150076,0.026077097505668945,0.4297142857142857,0.3930666666666667,0.5476571428571428,0.4297142857142857,0.7598967536926353,0.7598967536926353,181,201
repro_H1000,25,1,28,16,0.001,1000,False,743,0.5745523809523809,0.4254476190476191,0.08832425892316997,0.10657596371882083,0.6285714285714286,0.3930666666666667,0.6323047619047619,0.6284952380952381,0.6103506270052408,0.7866099327100043,298,1001
probe,25,1,28,64,0.01,1000,False,467,0.6482285714285714,0.35177142857142857,0.09906231094978823,0.09863945578231292,0.659047619047619,0.4428952380952381,0.6621714285714285,0.6121904761904762,0.7373489063446852,1.4716339468180977,90,1001
probe_norm,25,1,28,64,0.01,1000,True,2,0.548647619047619,0.45135238095238095,0.023744706594071352,0.006802721088435382,0.5508571428571428,0.5087238095238096,0.6441904761904762,0.6059428571428571,0.6353047804759367,0.929593297375485,0,1001
repro,25,2,29,16,0.001,200,False,200,0.5200761904761905,0.47992380952380953,0.4390502117362371,0.45351473922902497,0.4176,0.3204571428571429,0.5504,0.4176,0.735155191097014,0.735155191097014,182,201
repro_H1000,25,2,29,16,0.001,1000,False,631,0.6268190476190476,0.3731809523809524,0.021627344222625466,0.0011337868480725266,0.6165333333333334,0.3204571428571429,0.6303238095238095,0.6292571428571428,0.6100991793016274,0.7880816867716355,274,1001
probe,25,2,29,64,0.01,1000,False,44,0.5698285714285715,0.4301714285714286,0.10163339382940106,0.04081632653061229,0.6362666666666666,0.44525714285714285,0.6594285714285715,0.5593142857142858,0.6576425006963819,1.367067081004514,80,1001
probe_norm,25,2,29,64,0.01,1000,True,3,0.512,0.488,0.0074107683000604885,0.012471655328798237,0.5030857142857142,0.48556190476190475,0.6096761904761905,0.6052571428571428,0.6289910206814143,0.9228270386674186,6,1001
repro,25,3,30,16,0.001,200,False,200,0.4000761904761905,0.5999238095238095,0.029945553539019953,0.0816326530612245,0.44457142857142856,0.4421333333333333,0.5502476190476191,0.44457142857142856,1.2500102841189202,1.2500102841189202,182,201
repro_H1000,25,3,30,16,0.001,1000,False,808,0.6324190476190477,0.3675809523809524,0.0421960072595281,0.003401360544217691,0.6058666666666667,0.3716952380952381,0.6197333333333334,0.6131428571428571,0.6140123751869747,0.615631657124263,374,1001
probe,25,3,30,64,0.01,1000,False,623,0.6138666666666667,0.38613333333333333,0.1163036902601331,0.0907029478458049,0.6460190476190476,0.36274285714285714,0.6537142857142857,0.6166095238095238,0.7510234655190199,1.8934719152476434,97,1001
