arm,n,mean_test_auc,sd_test_auc,min_test_auc,max_test_auc,n_above_half,mean_test_auc_neg_score,mean_bc_epoch,mean_val_auc_at_bc,mean_val_auc_max
probe,30,0.6460571428571428,0.07343984451490833,0.471847619047619,0.7615238095238095,28,0.3539428571428571,295.06666666666666,0.6564304761904761,0.6952228571428571
probe_norm,30,0.563095873015873,0.07843902378980577,0.3622095238095238,0.6572190476190476,26,0.436904126984127,3.466666666666667,0.563095873015873,0.6622044444444445
repro,30,0.44146412698412696,0.05352785514534971,0.3551238095238095,0.5535238095238095,4,0.558535873015873,162.46666666666667,0.43057523809523807,0.5650666666666667
repro_H1000,30,0.6544825396825397,0.06048328031225684,0.5332571428571429,0.7596190476190476,30,0.34551746031746033,886.6,0.6619339682539683,0.6843377777777777
