split_id,run_id,frozen_auc_B,frozen_bc_epoch,repro_test_auc,repro_test_auc_neg_score,repro_bc_epoch,repro_val_auc_at_bc,repro_val_auc_max,repro_n_val_epochs_auc_below_half,repro_n_val_epochs,repro_H1000_test_auc,repro_H1000_bc_epoch,repro_H1000_val_auc_at_bc,repro_H1000_val_auc_max,probe_test_auc,probe_bc_epoch,probe_val_auc_at_bc,probe_norm_test_auc,probe_norm_bc_epoch
20,0,0.3966122857142857,91.0,0.396647619047619,0.603352380952381,91,0.3932952380952381,0.5584,163,201,0.7455238095238095,790,0.7098666666666666,0.718704761904762,0.753752380952381,525,0.713447619047619,0.415847619047619,0
20,1,0.5373821428571429,200.0,0.5373714285714286,0.4626285714285714,200,0.4940952380952381,0.5551238095238096,159,201,0.7596190476190476,994,0.7066666666666667,0.7093333333333334,0.7557333333333334,380,0.7163428571428572,0.6394666666666666,1
20,2,0.47646514285714286,200.0,0.4764952380952381,0.5235047619047619,200,0.5323428571428571,0.5551238095238096,151,201,0.7335238095238096,801,0.6997333333333333,0.7120761904761905,0.7161904761904762,34,0.6907428571428571,0.6123428571428572,2
20,3,0.407657,200.0,0.4076952380952381,0.5923047619047619,200,0.3954666666666667,0.5523809523809524,186,201,0.7325714285714285,936,0.6872380952380952,0.6986666666666667,0.7615238095238095,657,0.7198476190476191,0.5495619047619048,0
20,4,0.45874842857142856,200.0,0.4587047619047619,0.541295238095238,200,0.4704,0.5535238095238095,182,201,0.7418666666666667,948,0.6998095238095238,0.7001142857142857,0.6746666666666666,41,0.6559238095238096,0.652952380952381,1
21,0,0.3747782857142857,91.0,0.3747047619047619,0.6252952380952381,91,0.3779809523809523,0.5558095238095239,161,201,0.6823619047619047,998,0.7142095238095238,0.7220571428571428,0.6825142857142857,232,0.6934095238095238,0.6019047619047619,3
21,1,0.4841194285714286,76.0,0.4841142857142857,0.5158857142857143,76,0.4902857142857142,0.5497142857142857,173,201,0.6732190476190476,1000,0.7094095238095238,0.7164190476190476,0.6885333333333333,758,0.7101714285714286,0.6232380952380953,2
21,2,0.5047050000000001,200.0,0.5047619047619047,0.4952380952380952,200,0.4922666666666667,0.5533714285714286,179,201,0.688,1000,0.7204571428571429,0.731352380952381,0.6752761904761905,64,0.6787809523809524,0.5684571428571429,3
21,3,0.38995928571428573,200.0,0.3899428571428571,0.6100571428571429,200,0.420647619047619,0.5531428571428572,186,201,0.6950857142857143,999,0.7323428571428572,0.7388190476190476,0.683047619047619,689,0.7140571428571428,0.5990857142857143,0
21,4,0.40354842857142853,200.0,0.4035809523809524,0.5964190476190476,200,0.4239238095238095,0.5491809523809524,185,201,0.6846476190476191,998,0.7077333333333333,0.713447619047619,0.627352380952381,49,0.6195809523809523,0.5868952380952381,3
22,0,0.3627103571428571,100.0,0.3626666666666667,0.6373333333333333,100,0.3451428571428571,0.5692952380952381,164,201,0.5564571428571429,1000,0.6168380952380952,0.6566857142857143,0.527847619047619,90,0.6035428571428572,0.3622095238095238,0
22,1,0.434438,88.0,0.4345142857142857,0.5654857142857143,88,0.4323809523809523,0.5625142857142857,179,201,0.5332571428571429,996,0.6032,0.6435047619047619,0.6,119,0.6449523809523809,0.5276952380952381,3
22,2,0.4507130714285714,200.0,0.4505904761904762,0.5494095238095238,200,0.4057142857142857,0.561752380952381,182,201,0.5629714285714286,979,0.6196571428571429,0.6675047619047619,0.6091428571428571,168,0.662552380952381,0.5283809523809524,3
22,3,0.4368651428571429,200.0,0.4368761904761905,0.5631238095238095,200,0.4130285714285714,0.5590095238095238,188,201,0.5706666666666667,998,0.6233142857142857,0.6653333333333333,0.505752380952381,54,0.5184761904761904,0.5283809523809524,0
22,4,0.35508035714285713,200.0,0.3551238095238095,0.6448761904761905,200,0.3627047619047619,0.5586285714285715,189,201,0.5427047619047619,999,0.6086095238095238,0.6481523809523809,0.471847619047619,121,0.5031619047619048,0.5235047619047619,3
23,0,0.40070228571428573,89.0,0.4006857142857143,0.5993142857142857,89,0.3479619047619047,0.6122666666666666,158,201,0.6682285714285714,1000,0.6550857142857143,0.7108571428571429,0.6772190476190476,203,0.6946285714285715,0.6572190476190476,5
23,1,0.489763,80.0,0.4897523809523809,0.5102476190476191,80,0.4892952380952381,0.6085333333333334,137,201,0.6616380952380952,1000,0.6574476190476191,0.7167238095238095,0.6816761904761904,278,0.6945523809523809,0.6249904761904762,2
