method,dataset,selector,coordinate,step,from_stage,to_stage,lambda1_fairness,lambda2_propagation,mean,lo,hi,resolved
FMP,pokec_n,auc,negEO,fair,+propagation,+propagation+fairness,5.0,20.0,0.0001300372050871,-0.0027668645444737,0.0029586545499104,False
FMP,pokec_n,auc,negEO,total,base,+propagation+fairness,5.0,20.0,-0.0067552488680323,-0.0194571719662004,0.0070817075306595,False
FMP,pokec_n,auc,dAUC,fair,+propagation,+propagation+fairness,30.0,20.0,0.0002384090685038,-7.69234673395062e-05,0.0005785434308342,False
FMP,pokec_n,auc,dAUC,total,base,+propagation+fairness,30.0,20.0,0.0059599768712042,-0.006229930784108,0.017165376440855,False
FMP,pokec_n,auc,negDP,fair,+propagation,+propagation+fairness,30.0,20.0,0.0001188013520996,-0.0034786165192171,0.0036297854196965,False
FMP,pokec_n,auc,negDP,total,base,+propagation+fairness,30.0,20.0,-0.0447218496141643,-0.0580466815266423,-0.031557989903419,True
FMP,pokec_n,auc,negEO,fair,+propagation,+propagation+fairness,30.0,20.0,0.0023077074221061,-0.0019847473976988,0.0061273698989357,False
FMP,pokec_n,auc,negEO,total,base,+propagation+fairness,30.0,20.0,-0.0045775786510133,-0.0171049555280259,0.0093858157546712,False
FMP,pokec_z,last,dAUC,base,B,base,0.0,0.0,0.066238777909176,0.057611598944754,0.0745151959223608,True
FMP,pokec_z,last,negDP,base,B,base,0.0,0.0,0.0259774492166687,0.0061009561321799,0.0476973099700297,True
FMP,pokec_z,last,negEO,base,B,base,0.0,0.0,0.0283276963508467,0.0062285001787064,0.0517544133387526,True
FMP,pokec_z,last,dAUC,pkg,B,+propagation+fairness,5.0,0.01,0.0662228431813153,0.058157884366861,0.0740755727432075,True
FMP,pokec_z,last,negDP,pkg,B,+propagation+fairness,5.0,0.01,0.0264731502784224,0.0046652902435595,0.0492982058039473,True
FMP,pokec_z,last,negEO,pkg,B,+propagation+fairness,5.0,0.01,0.0282496277264594,0.006581275230481,0.0504543914523094,False
FMP,pokec_z,last,dAUC,pkg,B,+propagation+fairness,30.0,0.01,0.0668956619405908,0.0586765427697573,0.0746269954122108,True
FMP,pokec_z,last,negDP,pkg,B,+propagation+fairness,30.0,0.01,0.0258980700779076,0.0037173442873006,0.0490584507944797,True
FMP,pokec_z,last,negEO,pkg,B,+propagation+fairness,30.0,0.01,0.0296742874701507,0.0089419562859976,0.0509555842467753,True
FMP,pokec_z,last,dAUC,pkg,B,+propagation+fairness,5.0,20.0,0.060337348731518,0.0525362008912884,0.0679512595094203,True
FMP,pokec_z,last,negDP,pkg,B,+propagation+fairness,5.0,20.0,-0.0330238381894873,-0.0493580064304491,-0.0112788034067573,True
FMP,pokec_z,last,negEO,pkg,B,+propagation+fairness,5.0,20.0,-0.0284493760157616,-0.0439568947134445,-0.0114333281775816,True
FMP,pokec_z,last,dAUC,pkg,B,+propagation+fairness,30.0,20.0,0.0603346389216249,0.0525328642015531,0.0679133045044115,True
FMP,pokec_z,last,negDP,pkg,B,+propagation+fairness,30.0,20.0,-0.0357702050579491,-0.0527566098164879,-0.0140003239662009,True
FMP,pokec_z,last,negEO,pkg,B,+propagation+fairness,30.0,20.0,-0.0300935014761398,-0.0457025303581983,-0.0127064699259466,True
FMP,pokec_z,bce,dAUC,base,B,base,0.0,0.0,0.0633931899132851,0.0559925774627252,0.0713118325645719,True
FMP,pokec_z,bce,negDP,base,B,base,0.0,0.0,0.0208228111310621,0.0003392562793716,0.045023831088422,True
FMP,pokec_z,bce,negEO,base,B,base,0.0,0.0,0.0253331239797469,0.0063291423452662,0.047361368296428,True
FMP,pokec_z,bce,dAUC,pkg,B,+propagation+fairness,5.0,0.01,0.0634364960551878,0.0554064696776797,0.0718188750367394,True
FMP,pokec_z,bce,negDP,pkg,B,+propagation+fairness,5.0,0.01,0.0204975869081855,0.0006748137978727,0.0432277526760819,True
FMP,pokec_z,bce,negEO,pkg,B,+propagation+fairness,5.0,0.01,0.0271410915934598,0.0098346536728313,0.0484641779877758,True
FMP,pokec_z,bce,dAUC,pkg,B,+propagation+fairness,30.0,0.01,0.0639568548342536,0.0559319830963984,0.0724585750910496,True
FMP,pokec_z,bce,negDP,pkg,B,+propagation+fairness,30.0,0.01,0.0199988085669692,-4.727980703550078e-05,0.043247837344056,False
FMP,pokec_z,bce,negEO,pkg,B,+propagation+fairness,30.0,0.01,0.027764327233975,0.0116090899706998,0.0476578203572049,True
FMP,pokec_z,bce,dAUC,pkg,B,+propagation+fairness,5.0,20.0,0.0600948111603535,0.0519053739232158,0.0678405167418141,True
FMP,pokec_z,bce,negDP,pkg,B,+propagation+fairness,5.0,20.0,-0.0359852040928035,-0.0521390042427758,-0.0158931661430421,True
FMP,pokec_z,bce,negEO,pkg,B,+propagation+fairness,5.0,20.0,-0.0303605915255144,-0.0457069559522735,-0.0132791477662141,True
FMP,pokec_z,bce,dAUC,pkg,B,+propagation+fairness,30.0,20.0,0.0601023721413638,0.0520701650350754,0.0677415479563521,True
FMP,pokec_z,bce,negDP,pkg,B,+propagation+fairness,30.0,20.0,-0.0359054338602954,-0.0520291541634338,-0.0157120390496295,True
FMP,pokec_z,bce,negEO,pkg,B,+propagation+fairness,30.0,20.0,-0.030456333380148,-0.0460240091248947,-0.0132605595293328,True
FMP,pokec_z,auc,dAUC,base,B,base,0.0,0.0,0.0664386238637169,0.0590291439598212,0.0736574895170806,True
FMP,pokec_z,auc,negDP,base,B,base,0.0,0.0,0.0264517522845989,0.0036469932835625,0.0524617941316319,True
FMP,pokec_z,auc,negEO,base,B,base,0.0,0.0,0.0282435850092723,0.0081707555657098,0.0515066049258753,False
