method,dataset,varied_factor,coordinate,primary_configuration,robustness_configuration,primary_backbone,robustness_backbone,primary_tau_I_mean,primary_tau_I_lo,primary_tau_I_hi,primary_resolved,robustness_tau_I_mean,robustness_tau_I_lo,robustness_tau_I_hi,robustness_resolved,sign_changed,resolution_changed,abs_shift
FairGNN,pokec_z,hyperparameters: the upstream repository's row,negEO,default,upstreamGCN,GCN,GCN,-0.013582394797678357,-0.026274874945730525,-0.001730461342237266,False,0.029545101070678877,-0.00019845804025196503,0.056878485554438835,False,True,False,0.043127495868357235
FairSIN,bail,backbone (encoder),dAUC,GCN,GIN,GCN,GIN,0.0033323365414344,-0.003992930398543298,0.011844473806120047,False,0.00662164776907388,-0.008399857713217794,0.024222537713554534,False,False,False,0.00328931122763948
FairSIN,bail,backbone (encoder),negDP,GCN,GIN,GCN,GIN,0.0050636385218032895,0.0007927297091039685,0.010039506938718525,False,0.00024102766412774045,-0.008858769000315058,0.009053222502608498,False,False,False,0.004822610857675549
FairSIN,bail,backbone (encoder),negEO,GCN,GIN,GCN,GIN,-0.005636972188986378,-0.013816321844539417,0.0014564562541606316,False,-0.010675606368361493,-0.020100287560076962,-0.0002780645035095313,False,False,False,0.005038634179375115
FairSIN,credit,backbone (encoder),dAUC,GCN,GIN,GCN,GIN,-0.04587965452586778,-0.07089475140689115,-0.030503011206454676,True,-0.03454253545078118,-0.04975191638255717,-0.024372442115773312,True,False,False,0.011337119075086596
FairSIN,credit,backbone (encoder),negDP,GCN,GIN,GCN,GIN,0.07656166495356928,0.05502304092388726,0.09850948563704924,True,0.06049274789960298,0.04591178022439678,0.07738236238611523,True,False,False,0.0160689170539663
FairSIN,credit,backbone (encoder),negEO,GCN,GIN,GCN,GIN,0.058928185504997475,0.03685191032030444,0.08278337696205541,True,0.03583459098939653,0.018827986158699645,0.05353415742110643,True,False,False,0.023093594515600946
FairSIN,german,backbone (encoder),dAUC,GCN,GIN,GCN,GIN,-0.10966095238095237,-0.156119873015873,-0.060102857142857166,True,-0.002854603174603165,-0.013791047619047618,0.00859434920634922,False,False,True,0.10680634920634921
FairSIN,german,backbone (encoder),negDP,GCN,GIN,GCN,GIN,0.17890743199046613,0.08268979502894816,0.2758666299799678,True,0.0013284817005857327,-0.026310540546647287,0.03207605686921531,False,False,True,0.1775789502898804
FairSIN,german,backbone (encoder),negEO,GCN,GIN,GCN,GIN,0.13216414412100536,0.054022426506802446,0.21019859943977587,True,-0.009252633588896556,-0.028738442937754315,0.007015646147347799,False,True,True,0.1414167777099019
FairSIN,pokec_n,backbone (encoder),dAUC,GCN,GIN,GCN,GIN,0.0027522852895109696,-0.0019442564466656382,0.009614802353025871,False,0.005317402141658615,-0.0035915677151848566,0.016313924917369563,False,False,False,0.0025651168521476455
FairSIN,pokec_n,backbone (encoder),negDP,GCN,GIN,GCN,GIN,-0.001908624742727676,-0.01827734634291023,0.010588651790492743,False,0.006789535548717904,-0.008174626946406683,0.025823683518248722,False,True,False,0.00869816029144558
FairSIN,pokec_n,backbone (encoder),negEO,GCN,GIN,GCN,GIN,-0.0005040255438316973,-0.01262824039144696,0.010793342330507784,False,0.0008290845287196905,-0.020546565928526304,0.01999944619129152,False,True,False,0.0013331100725513878
FairSIN,pokec_z,backbone (encoder),dAUC,GCN,GIN,GCN,GIN,0.0012218753653554773,-0.0011110372811228971,0.003656516399979563,False,0.0053110724249815925,-0.00220515838472668,0.013926776209073932,False,False,False,0.004089197059626115
FairSIN,pokec_z,backbone (encoder),negDP,GCN,GIN,GCN,GIN,0.01781659615580084,0.010381576838153555,0.02759849609030877,True,0.004171211573977173,-0.01016040148007352,0.019262728958206878,False,False,True,0.013645384581823669
FairSIN,pokec_z,backbone (encoder),negEO,GCN,GIN,GCN,GIN,0.014248809464120564,0.008237306779462862,0.02119602557630859,True,0.004978678147003007,-0.007730843378086347,0.01743106623971851,False,False,True,0.009270131317117557
FairSIN,bail,backbone (encoder),dAUC,GCN,SAGE,GCN,SAGE,0.0033323365414344,-0.003992930398543298,0.011844473806120047,False,0.013057227717013635,0.0019957526811979934,0.025719937333485352,False,False,False,0.009724891175579235
FairSIN,bail,backbone (encoder),negDP,GCN,SAGE,GCN,SAGE,0.0050636385218032895,0.0007927297091039685,0.010039506938718525,False,-0.00240061148278458,-0.012776542670874842,0.007108463481032298,False,True,False,0.0074642500045878695
