comparison_type,method,backbone,dataset,configuration,x_name,x_mean,x_lo,x_hi,x_resolved,y_name,y_mean,y_lo,y_hi,y_resolved,sign_changed,resolution_changed,abs_shift,configuration_role,task_adaptation
bce_vs_auc_selector,BIND,GCN,bail,10pct,bce_selected_tau_I_negDP,0.00325887807491695,-0.0013205214254592664,0.009124920114257395,False,auc_selected_tau_I_negDP,-0.0002290074556824261,-0.014562492961706312,0.010615486288860767,False,True,False,0.003487885530599376,robustness,
bce_vs_auc_selector,BIND,GCN,income,10pct,bce_selected_tau_I_negDP,0.052974741718479615,0.04676197453302405,0.058611888817886204,True,auc_selected_tau_I_negDP,0.0956695432215355,0.07356385231907801,0.11671789170838932,True,False,False,0.04269480150305588,robustness,
bce_vs_auc_selector,BIND,GCN,bail,1pct,bce_selected_tau_I_negDP,0.0005513076003535531,-0.002150186124113708,0.0030923247867115423,False,auc_selected_tau_I_negDP,-0.0015302217233638053,-0.006628175486578194,0.003099951411492041,False,True,False,0.0020815293237173584,primary,
bce_vs_auc_selector,BIND,GCN,income,1pct,bce_selected_tau_I_negDP,0.04233838199071894,0.035540510733260734,0.048781209761123455,True,auc_selected_tau_I_negDP,0.0010534832102391664,-0.021577467667431557,0.021740915095051848,False,False,True,0.04128489878047977,primary,
bce_vs_auc_selector,BeMap,GCN,bail,default,bce_selected_tau_I_negDP,0.059653184001909734,0.041908943965722735,0.074071556131283,True,auc_selected_tau_I_negDP,0.04376194697981628,0.02752992017770442,0.06065655156529135,True,False,False,0.015891237022093455,primary,
bce_vs_auc_selector,BeMap,GCN,credit,default,bce_selected_tau_I_negDP,0.0224973836925205,-0.019565803307296438,0.06667254946249536,False,auc_selected_tau_I_negDP,0.04208993207355089,0.018636592409433,0.06873151975431972,True,False,True,0.019592548381030393,primary,
bce_vs_auc_selector,BeMap,GCN,pokec_z,default,bce_selected_tau_I_negDP,-0.06677784952252212,-0.1438367754066933,0.007416828385447914,False,auc_selected_tau_I_negDP,-0.06924028723801504,-0.14952488515814524,0.006306199398604374,False,False,False,0.002462437715492913,primary,
bce_vs_auc_selector,BeMap,GAT,bail,GAT,bce_selected_tau_I_negDP,0.062080089261906786,0.04191881348561804,0.08204431431152624,True,auc_selected_tau_I_negDP,0.05262138286981473,0.03318155739084576,0.07136079172701985,True,False,False,0.009458706392092057,robustness,
bce_vs_auc_selector,BeMap,GAT,credit,GAT,bce_selected_tau_I_negDP,0.028989667108674955,0.007643507007647204,0.05546382649702044,False,auc_selected_tau_I_negDP,0.011702738822228899,-0.0028580896736646075,0.02586275194668007,False,False,False,0.017286928286446054,robustness,
bce_vs_auc_selector,BeMap,GAT,pokec_z,GAT,bce_selected_tau_I_negDP,-0.03791201960783487,-0.07829309035557282,-0.005590525548382056,True,auc_selected_tau_I_negDP,-0.02601344126765337,-0.06854234947970592,0.015258602135870795,False,False,True,0.011898578340181501,robustness,
bce_vs_auc_selector,EDITS,GCN,bail,default,bce_selected_tau_I_negDP,0.007302170251964043,-0.0032920629248429406,0.019948707015116973,False,auc_selected_tau_I_negDP,0.00950575425992789,-0.0010821838266448257,0.02175306503556003,False,False,False,0.002203584007963847,primary,
bce_vs_auc_selector,EDITS,GCN,credit,default,bce_selected_tau_I_negDP,0.20922419953234034,0.07555197685846207,0.3396007745643521,True,auc_selected_tau_I_negDP,0.17421973375084301,0.0515903278306755,0.287011830689387,True,False,False,0.035004465781497324,primary,
bce_vs_auc_selector,EDITS,GCN,german,default,bce_selected_tau_I_negDP,0.27597799885437485,0.11787445476602916,0.3992037523747005,True,auc_selected_tau_I_negDP,0.28696933744309183,0.12868935996119252,0.40482012656959665,True,False,False,0.010991338588716981,primary,
bce_vs_auc_selector,FairEdit,GCN,bail,default,bce_selected_tau_I_negDP,4.3966670641187405e-05,-9.876384778741604e-05,0.000191049577193594,False,auc_selected_tau_I_negDP,-4.169221498335971e-05,-0.00015466752805307302,5.617249302002659e-05,False,True,False,8.565888562454711e-05,primary,
bce_vs_auc_selector,FairEdit,GCN,credit,default,bce_selected_tau_I_negDP,0.0,0.0,0.0,False,auc_selected_tau_I_negDP,0.0,0.0,0.0,False,False,False,0.0,primary,
