analysis,method,dataset,coordinate,term,mean,lo,hi,resolved,note
selection-support decomposition,FairGB,bail,negEO,fx50,-0.0232295477883624,-0.0481457660100526,0.001280657182901,False,
selection-support decomposition,FairGB,bail,dAUC,fx50,-0.0164509182985227,-0.0262272374470546,-0.0061145017500936,True,
selection-support decomposition,FairGB,bail,negDP,fx100,-0.0854445741979051,-0.1433683248648628,-0.0374431488960378,True,
selection-support decomposition,FairGB,bail,negEO,fx100,-0.0729527944730778,-0.1121952720636451,-0.0378721412144947,True,
selection-support decomposition,FairGB,bail,dAUC,fx100,-0.0074016804776233,-0.0232510519247585,0.0074193138251656,False,
selection-support decomposition,FairGB,bail,negDP,fx150,-0.1093659797021924,-0.16864230015048,-0.0571708534655818,True,
selection-support decomposition,FairGB,bail,negEO,fx150,-0.067515522829663,-0.1146618508355756,-0.0264905954069753,True,
selection-support decomposition,FairGB,bail,dAUC,fx150,0.0095953337384275,1.6999590696729737e-05,0.0205169046786337,False,
selection-support decomposition,FairGB,bail,negDP,fx200,-0.1535003021520023,-0.2199933677600535,-0.091778616577583,True,
selection-support decomposition,FairGB,bail,negEO,fx200,-0.0827292162487757,-0.114639094331832,-0.0544494285625841,True,
selection-support decomposition,FairGB,bail,dAUC,fx200,0.0138135619054324,-0.0023566025888273,0.02951793496797,False,
selection-support decomposition,FairGB,bail,negDP,fx300,-0.103311579511432,-0.1660993501081263,-0.0455094725580619,True,
selection-support decomposition,FairGB,bail,negEO,fx300,-0.0499384733306954,-0.0812399166505192,-0.0219806341265776,True,
selection-support decomposition,FairGB,bail,dAUC,fx300,0.0284230108038721,0.0172845304848681,0.039924440878187,True,
selection-support decomposition,FairGB,bail,negDP,fx500,-0.0573757705629715,-0.1205254428653747,-0.0060182229146392,False,
selection-support decomposition,FairGB,bail,negEO,fx500,-0.0337029130207618,-0.058462559286671,-0.0108982920883818,False,
selection-support decomposition,FairGB,bail,dAUC,fx500,0.0417938517008343,0.0335760528781839,0.054100518714433,True,
selection-support decomposition,FairGB,bail,negDP,fx750,-0.0589533575428868,-0.1008684593994081,-0.0189155469965658,False,
selection-support decomposition,FairGB,bail,negEO,fx750,-0.0235035063776878,-0.0433583525691195,-0.0065124579562811,False,
selection-support decomposition,FairGB,bail,dAUC,fx750,0.0458219496254664,0.0321461939609079,0.0633412525037779,True,
selection-support decomposition,FairGB,bail,negDP,fx1000,-0.0309064763173679,-0.0818456296095956,0.0056142627387685,False,
selection-support decomposition,FairGB,bail,negEO,fx1000,-0.0313173529836363,-0.0607102431891086,-0.0102216327387834,False,
selection-support decomposition,FairGB,bail,dAUC,fx1000,0.0435227180544458,0.0381517049191137,0.0496777889318982,True,
selection-support decomposition,FairGB,bail,negDP,fx1250,-0.0030074358490365,-0.0319809418935316,0.0188605599232122,False,
selection-support decomposition,FairGB,bail,negEO,fx1250,-0.0236576255300065,-0.0443408895515782,-0.007170947274483,False,
selection-support decomposition,FairGB,bail,dAUC,fx1250,0.0450948368092863,0.0395582007689391,0.0505445108876715,True,
selection-support decomposition,FairGB,bail,negDP,fx1499,-0.0179839260772714,-0.054867942292968,0.0127252726047351,False,
selection-support decomposition,FairGB,bail,negEO,fx1499,-0.0244318626991817,-0.049158533835745,-0.0045022341975722,False,
selection-support decomposition,FairGB,bail,dAUC,fx1499,0.0353266205808254,0.0219756986216593,0.0458529374653705,True,
