analysis,method,dataset,coordinate,term,mean,lo,hi,resolved,note
selection-support decomposition,NIFTY,german,negEO,D0.auc.h200,0.0255744989071278,0.0043999999999999,0.0587311062131708,True,
selection-support decomposition,NIFTY,german,negEO,D0.auc.T,-0.0006666666666666,-0.0026666666666666,1.3877787807814457e-17,False,
selection-support decomposition,NIFTY,german,negEO,D0.auc.H,-0.0631707081295875,-0.1492093205430812,0.0145333333333333,False,
selection-support decomposition,NIFTY,german,negEO,D0.auc.frz,-0.0350237542120867,-0.1085917534008283,0.0317906203592547,False,
selection-support decomposition,NIFTY,german,dAUC,D0.auc.S,0.019847619047619,-0.0056168571428571,0.0485280317460317,False,
selection-support decomposition,NIFTY,german,dAUC,D0.auc.h200,-0.0070374603174603,-0.0264252063492063,0.0056587936507936,False,
selection-support decomposition,NIFTY,german,dAUC,D0.auc.T,-8.761904761905223e-05,-0.0004571428571428,0.0002387301587301,False,
selection-support decomposition,NIFTY,german,dAUC,D0.auc.H,0.01976,-0.0057020634920634,0.0482772063492063,False,
selection-support decomposition,NIFTY,german,dAUC,D0.auc.frz,0.012671746031746,-0.0047545396825397,0.0291098730158729,False,
selection-support decomposition,NIFTY,german,negDP,D0.fx25,0.0,0.0,0.0,False,
selection-support decomposition,NIFTY,german,negEO,D0.fx25,0.0,0.0,0.0,False,
selection-support decomposition,NIFTY,german,dAUC,D0.fx25,-0.0018006349206349,-0.0035530158730158,-0.0006628571428571,False,
selection-support decomposition,NIFTY,german,negDP,D0.fx50,-0.00038527660097,-0.0029143897996357,0.0013732833957553,False,
selection-support decomposition,NIFTY,german,negEO,D0.fx50,0.0002916666666666,-0.0041666666666666,0.0053333333333333,False,
selection-support decomposition,NIFTY,german,dAUC,D0.fx50,-0.0097650793650793,-0.0354184444444444,0.004877746031746,False,
selection-support decomposition,NIFTY,german,negDP,D0.fx100,0.0157199705970644,-0.0195372755658623,0.0454005003644058,False,
selection-support decomposition,NIFTY,german,negEO,D0.fx100,0.0194864395226175,-0.0173297592788593,0.051724476930252,False,
selection-support decomposition,NIFTY,german,dAUC,D0.fx100,0.0141841269841269,-0.0092445714285714,0.0394951111111111,False,
selection-support decomposition,NIFTY,german,negDP,D0.fx150,0.0035769062616764,-0.0300804353254242,0.0347557859887994,False,
selection-support decomposition,NIFTY,german,negEO,D0.fx150,-0.003390706193825,-0.0423968596720603,0.0359585722653423,False,
selection-support decomposition,NIFTY,german,dAUC,D0.fx150,-0.0289485714285714,-0.0438274285714285,-0.0156088571428571,True,
selection-support decomposition,NIFTY,german,negDP,D0.fx200,-0.005678164997495,-0.0354592004559818,0.0310353060148574,False,
selection-support decomposition,NIFTY,german,negEO,D0.fx200,-0.0050866423342386,-0.0373088064667356,0.0336383734029959,False,
selection-support decomposition,NIFTY,german,dAUC,D0.fx200,-0.0444114285714285,-0.0679532380952381,-0.0234107619047618,True,
selection-support decomposition,NIFTY,german,negDP,D0.fx300,-0.0002889236621111,-0.0392161806089086,0.0411940078777635,False,
selection-support decomposition,NIFTY,german,negEO,D0.fx300,0.0001559783073986,-0.0374295281800663,0.0424021957173827,False,
selection-support decomposition,NIFTY,german,dAUC,D0.fx300,-0.0537866666666666,-0.0830123492063492,-0.0261911746031746,True,
selection-support decomposition,NIFTY,german,negDP,D0.fx400,-0.0657506475194483,-0.123570357643099,-0.0083447091000446,False,
selection-support decomposition,NIFTY,german,negEO,D0.fx400,-0.0517630543292967,-0.1094368217712616,0.0037879179449557,False,
selection-support decomposition,NIFTY,german,dAUC,D0.fx400,-0.0276241269841269,-0.0594623492063491,0.001973873015873,False,
selection-support decomposition,NIFTY,german,negDP,D0.fx600,-0.0751141447173473,-0.1448103780108487,0.0002327117599717,False,
selection-support decomposition,NIFTY,german,negEO,D0.fx600,-0.0615958663075158,-0.1310124672674921,0.0110089258524036,False,
selection-support decomposition,NIFTY,german,dAUC,D0.fx600,-0.0074107936507936,-0.036495746031746,0.0183950158730158,False,
selection-support decomposition,NIFTY,german,negDP,D0.fx800,-0.048575496528463,-0.1264525020887426,0.0282055742683047,False,
selection-support decomposition,NIFTY,german,negEO,D0.fx800,-0.041107571840793,-0.1315716399955372,0.0344224310835444,False,
selection-support decomposition,NIFTY,german,dAUC,D0.fx800,-0.0023707936507936,-0.028863238095238,0.0240897142857142,False,
selection-support decomposition,NIFTY,german,negDP,D0.fx1000,-0.0837537317871713,-0.1523774693535734,-0.014882219266585,True,
selection-support decomposition,NIFTY,german,negEO,D0.fx1000,-0.0686902944925014,-0.1473036402827975,-0.0006993411809167,False,
selection-support decomposition,NIFTY,german,dAUC,D0.fx1000,-0.0028431746031746,-0.0380539365079364,0.0287570793650793,False,
selection-support decomposition,NIFTY,german,negDP,D0.L,-0.0736873616314092,-0.1501048053586937,0.0036390408765928,False,
selection-support decomposition,NIFTY,german,negEO,D0.L,-0.0608009412117881,-0.1455501167257683,0.0171143198390467,False,
selection-support decomposition,NIFTY,german,dAUC,D0.L,0.015517037037037,-0.016956656084656,0.050529746031746,False,
selection-support decomposition,NIFTY,german,negDP,D1.bce.c200,0.0288130082436512,-0.0067404107496763,0.0725642344698082,False,
selection-support decomposition,NIFTY,german,negEO,D1.bce.c200,0.0296963720239869,-0.002061603501773,0.0667317752692093,False,
selection-support decomposition,NIFTY,german,dAUC,D1.bce.c200,-0.0233942857142857,-0.0452770158730158,-0.0051933333333333,False,
selection-support decomposition,NIFTY,german,negDP,D1.bce.c1000,-0.1479522525568953,-0.2207440753864306,-0.0747746991025558,True,
selection-support decomposition,NIFTY,german,negEO,D1.bce.c1000,-0.1222890958924941,-0.1876441953204154,-0.0606546299756604,True,
selection-support decomposition,NIFTY,german,dAUC,D1.bce.c1000,0.0488355555555555,0.0261762222222222,0.0691233015873015,True,
selection-support decomposition,NIFTY,german,negDP,D1.bce.S,-0.1767652608005466,-0.2471083833519587,-0.1015446212311069,True,
selection-support decomposition,NIFTY,german,negDP,D1.bce.h200,0.028836245042051,-0.0065705402236641,0.0732340074117142,False,
selection-support decomposition,NIFTY,german,negDP,D1.bce.T,-2.323679839981429e-05,-0.0070713136150071,0.0064252310292498,False,
selection-support decomposition,NIFTY,german,negDP,D1.bce.H,-0.1767884975989465,-0.2488391074811393,-0.1027278866971946,True,
selection-support decomposition,NIFTY,german,negDP,D1.bce.frz,-0.1510232476122943,-0.2242361571819782,-0.0805760200588961,True,
selection-support decomposition,NIFTY,german,negEO,D1.bce.S,-0.151985467916481,-0.2155424025576542,-0.0881007504575412,True,
selection-support decomposition,NIFTY,german,negEO,D1.bce.h200,0.0294506114975541,-0.0010236015573487,0.0651754304350286,False,
selection-support decomposition,NIFTY,german,negEO,D1.bce.T,0.0002457605264328,-0.0041333333333333,0.0053554497354497,False,
selection-support decomposition,NIFTY,german,negEO,D1.bce.H,-0.1517397073900482,-0.2148508189366171,-0.0881891232048375,True,
selection-support decomposition,NIFTY,german,negEO,D1.bce.frz,-0.12220322267796,-0.1865168276199368,-0.0624438127473211,True,
selection-support decomposition,NIFTY,german,dAUC,D1.bce.S,0.0722298412698412,0.0434726031746031,0.0981385396825396,True,
selection-support decomposition,NIFTY,german,dAUC,D1.bce.h200,-0.0231847619047619,-0.0450961587301587,-0.0049267619047619,False,
selection-support decomposition,NIFTY,german,dAUC,D1.bce.T,-0.0002095238095238,-0.001493365079365,0.0011225714285714,False,
selection-support decomposition,NIFTY,german,dAUC,D1.bce.H,0.0720203174603174,0.0431403174603174,0.0977577142857142,True,
selection-support decomposition,NIFTY,german,dAUC,D1.bce.frz,0.0505422222222222,0.0270612698412698,0.0716525714285714,True,
selection-support decomposition,NIFTY,german,negDP,D1.tele.common,0.0288130082436512,-0.0067404107496763,0.0725642344698082,False,
selection-support decomposition,NIFTY,german,negDP,D1.tele.m1ext,-0.0816653461391247,-0.1436702712023616,-0.0307030665838514,True,
selection-support decomposition,NIFTY,german,negDP,D1.tele.m0ext,0.0950999146614219,0.047210448580383,0.1526792078734327,True,
selection-support decomposition,NIFTY,german,negDP,D1.tele.full,-0.1479522525568953,-0.2207440753864306,-0.0747746991025558,True,
selection-support decomposition,NIFTY,german,negEO,D1.tele.common,0.0296963720239869,-0.002061603501773,0.0667317752692093,False,
selection-support decomposition,NIFTY,german,negEO,D1.tele.m1ext,-0.0567262604155137,-0.1103495153136609,-0.0118878480514546,False,
selection-support decomposition,NIFTY,german,negEO,D1.tele.m0ext,0.0952592075009673,0.0545999147436752,0.1434617616421568,True,
selection-support decomposition,NIFTY,german,negEO,D1.tele.full,-0.1222890958924941,-0.1876441953204154,-0.0606546299756604,True,
selection-support decomposition,NIFTY,german,dAUC,D1.tele.common,-0.0233942857142857,-0.0452770158730158,-0.0051933333333333,False,
selection-support decomposition,NIFTY,german,dAUC,D1.tele.m1ext,0.1767365079365079,0.1323184761904761,0.2194094285714285,True,
selection-support decomposition,NIFTY,german,dAUC,D1.tele.m0ext,0.1045066666666666,0.0620656507936507,0.1471600634920634,True,
selection-support decomposition,NIFTY,german,dAUC,D1.tele.full,0.0488355555555555,0.0261762222222222,0.0691233015873015,True,
selection-support decomposition,NIFTY,german,negDP,D1.auc.c200,0.0096680227057902,-0.0012987656506741,0.0267524423556276,False,
selection-support decomposition,NIFTY,german,negEO,D1.auc.c200,0.0087326457769869,-0.0015906273620559,0.024981424399547,False,
selection-support decomposition,NIFTY,german,dAUC,D1.auc.c200,-0.0059657142857142,-0.0207164444444444,0.0031670476190476,False,
selection-support decomposition,NIFTY,german,negDP,D1.auc.c1000,-0.0289727710137897,-0.0960858689141659,0.0352092016037669,False,
selection-support decomposition,NIFTY,german,negEO,D1.auc.c1000,-0.030406098792945,-0.0902809211842242,0.0219335044617728,False,
selection-support decomposition,NIFTY,german,dAUC,D1.auc.c1000,0.002359365079365,-0.0122502857142857,0.0167826666666666,False,
