method,backbone,dataset,configuration,task_adaptation,n_units,tau_pkg_dAUC_mean,tau_pkg_dAUC_lo,tau_pkg_dAUC_hi,tau_nonint_dAUC_mean,tau_nonint_dAUC_lo,tau_nonint_dAUC_hi,tau_I_dAUC_mean,tau_I_dAUC_lo,tau_I_dAUC_hi,tau_I_dAUC_sign_stability,tau_I_dAUC_resolved,tau_pkg_negDP_mean,tau_pkg_negDP_lo,tau_pkg_negDP_hi,tau_nonint_negDP_mean,tau_nonint_negDP_lo,tau_nonint_negDP_hi,tau_I_negDP_mean,tau_I_negDP_lo,tau_I_negDP_hi,tau_I_negDP_sign_stability,tau_I_negDP_resolved,tau_pkg_negEO_mean,tau_pkg_negEO_lo,tau_pkg_negEO_hi,tau_nonint_negEO_mean,tau_nonint_negEO_lo,tau_nonint_negEO_hi,tau_I_negEO_mean,tau_I_negEO_lo,tau_I_negEO_hi,tau_I_negEO_sign_stability,tau_I_negEO_resolved,nonint_larger_negDP,nonint_larger_negEO,caveat
FnRGNN,GCN,german,default,"released for node regression: loss MSE -> BCE, losses on training nodes only, mmd_sample and H set by the harness (no loop released)",30,0.1745828571428572,0.12654419047619048,0.21874041269841274,0.18055873015873022,0.1442526666666667,0.21580495238095243,-0.005975873015873029,-0.03790133333333335,0.02361549206349203,0.5,False,-0.024726261571426596,-0.09570476417643523,0.05016376451742427,-0.18521644125081388,-0.30681874179082325,-0.056798902941798526,0.16049017967938728,0.01853905498813619,0.2996543832326104,0.7666666666666667,True,-0.007178681094187064,-0.08726918599073792,0.07665602279933842,-0.16525942130398258,-0.294699556672403,-0.0326613454270598,0.1580807402097955,0.018296468031657152,0.2960192195787891,0.7586206896551724,True,True,True,"task-adapted: released for node regression: loss MSE -> BCE, losses on training nodes only, mmd_sample and H set by the harness (no loop released); reported on its own, never counted in the primary summary"
FnRGNN,GCN,pokec_n,default,"released for node regression: loss MSE -> BCE, losses on training nodes only, mmd_sample and H set by the harness (no loop released)",30,0.00326573015189288,-0.0035314258381450537,0.010678052979591672,0.023430795669796556,0.015388529458381683,0.030407621953146138,-0.020165065517903678,-0.03146535355674868,-0.007250716973717448,0.9,True,0.06280037426100712,0.011224367446385528,0.1207076920029934,-0.003304884439616182,-0.018010723736106068,0.014723343324794422,0.06610525870062331,0.02023989250972962,0.11438853255133077,0.8666666666666667,True,0.057272206153061306,0.0026457640140071796,0.1167051836700326,-0.005961852423887407,-0.024900886013533054,0.015364247649334516,0.06323405857694873,0.017945073630826557,0.1102245103974335,0.8333333333333334,True,False,False,"task-adapted: released for node regression: loss MSE -> BCE, losses on training nodes only, mmd_sample and H set by the harness (no loop released); reported on its own, never counted in the primary summary"
FnRGNN,GCN,pokec_z,default,"released for node regression: loss MSE -> BCE, losses on training nodes only, mmd_sample and H set by the harness (no loop released)",30,-0.024629901843991893,-0.04456601758393896,-0.005904202545134932,0.037083755983074944,0.028315628360908947,0.04656104387037396,-0.06171365782706684,-0.08676875996032636,-0.03987437436827187,1.0,True,0.05167531454188152,0.014253934913657913,0.09082224246025629,-0.02796731145084154,-0.05458040944404901,-0.0001839412949616479,0.07964262599272305,0.047255315880695474,0.1142878894835848,0.9666666666666667,True,0.040101625221771436,0.00668016162408209,0.07418516675398427,-0.020221470098960085,-0.04653800335932358,0.009603735434588295,0.06032309532073151,0.034911167994618846,0.08527380176800417,0.9666666666666667,True,False,False,"task-adapted: released for node regression: loss MSE -> BCE, losses on training nodes only, mmd_sample and H set by the harness (no loop released); reported on its own, never counted in the primary summary"
