method,backbone,dataset,configuration,selector,n_units,tau_pkg_negMSE_mean,tau_pkg_negMSE_lo,tau_pkg_negMSE_hi,tau_nonint_negMSE_mean,tau_nonint_negMSE_lo,tau_nonint_negMSE_hi,tau_I_negMSE_mean,tau_I_negMSE_lo,tau_I_negMSE_hi,tau_I_negMSE_sign_stability,tau_I_negMSE_resolved,tau_pkg_negMeanGap_mean,tau_pkg_negMeanGap_lo,tau_pkg_negMeanGap_hi,tau_nonint_negMeanGap_mean,tau_nonint_negMeanGap_lo,tau_nonint_negMeanGap_hi,tau_I_negMeanGap_mean,tau_I_negMeanGap_lo,tau_I_negMeanGap_hi,tau_I_negMeanGap_sign_stability,tau_I_negMeanGap_resolved,tau_pkg_negWD_mean,tau_pkg_negWD_lo,tau_pkg_negWD_hi,tau_nonint_negWD_mean,tau_nonint_negWD_lo,tau_nonint_negWD_hi,tau_I_negWD_mean,tau_I_negWD_lo,tau_I_negWD_hi,tau_I_negWD_sign_stability,tau_I_negWD_resolved
FnRGNN,GCN,german,regression (released task),validation MSE,30,0.6217955827713013,0.3522527734686931,0.9316083939373492,0.7335560699303945,0.4544248129551609,1.0471542005985974,-0.1117604871590932,-0.1522126075625419,-0.0798355404287576,1.0,True,0.1224112684993694,0.0538178431316434,0.184748639309934,-0.0205069712828844,-0.077065774659859,0.0342074846941977,0.1429182397822539,0.1052166035429885,0.1828024119914819,1.0,True,0.1021497507543962,0.0405542514857101,0.1620809426805806,-0.0202462668643497,-0.0796769149699606,0.039240201943056,0.122396017618746,0.099570909292465,0.1410524031751678,1.0,True
FnRGNN,GCN,pokec_z,regression (released task),validation MSE,30,0.4895906180143356,0.4602656389772892,0.5206741457680861,0.0952493747075398,0.078787237505118,0.1127848950525124,0.3943412433067957,0.3743939084559678,0.4177578275899092,1.0,True,0.0090816797222942,-0.0127824442422328,0.027089196103625,-0.0438425589352846,-0.0992034380836412,0.0070570743766923,0.0529242386575788,0.003861236438776,0.1068672078444312,0.8,True,-0.0026607441255835,-0.0218387184375631,0.0132522521048065,-0.0538552419797453,-0.0962598839844518,-0.0144667666005682,0.0511944978541617,0.0182947383267731,0.0897071378120315,0.9333333333333332,True
FnRGNN,GCN,pokec_n,regression (released task),validation MSE,30,0.4317483693361282,0.4048063548654317,0.4572544880211353,0.0818454960982004,0.0669709852337837,0.0969225616753101,0.3499028732379277,0.331220434034864,0.3689714379111925,1.0,True,0.0229214588801066,-0.0071308474227165,0.0565985676801453,-0.0096545015151302,-0.0401671386292825,0.0167177117972945,0.0325759603952368,0.011548588653095,0.0559303521877154,0.8333333333333334,True,0.0072351749937945,-0.0146317687602046,0.0312769740487519,-0.0288632314375289,-0.0646362857114746,0.0052025178091039,0.0360984064313235,0.0159291134906095,0.0597637690945107,0.9666666666666668,True
