method,backbone,dataset,configuration,configuration_role,protocol,native_evaluation_role,baseline_reference_protocol,count_in_primary_summary,task_adaptation,status,n_units,tau_nonint_dAUC_mean,tau_nonint_dAUC_lo,tau_nonint_dAUC_hi,tau_nonint_negDP_mean,tau_nonint_negDP_lo,tau_nonint_negDP_hi,tau_nonint_negEO_mean,tau_nonint_negEO_lo,tau_nonint_negEO_hi,tau_I_dAUC_mean,tau_I_dAUC_lo,tau_I_dAUC_hi,tau_I_dAUC_sign_stability,tau_I_dAUC_resolved,tau_I_negDP_mean,tau_I_negDP_lo,tau_I_negDP_hi,tau_I_negDP_sign_stability,tau_I_negDP_resolved,tau_I_negEO_mean,tau_I_negEO_lo,tau_I_negEO_hi,tau_I_negEO_sign_stability,tau_I_negEO_resolved,tau_pkg_dAUC_mean,tau_pkg_dAUC_lo,tau_pkg_dAUC_hi,tau_pkg_negDP_mean,tau_pkg_negDP_lo,tau_pkg_negDP_hi,tau_pkg_negEO_mean,tau_pkg_negEO_lo,tau_pkg_negEO_hi,tau_I_dAUC_auc_selector_mean,tau_I_dAUC_auc_selector_lo,tau_I_dAUC_auc_selector_hi,tau_I_dAUC_auc_selector_sign_stability,tau_I_dAUC_auc_selector_resolved,tau_I_negDP_auc_selector_mean,tau_I_negDP_auc_selector_lo,tau_I_negDP_auc_selector_hi,tau_I_negDP_auc_selector_sign_stability,tau_I_negDP_auc_selector_resolved,tau_I_negEO_auc_selector_mean,tau_I_negEO_auc_selector_lo,tau_I_negEO_auc_selector_hi,tau_I_negEO_auc_selector_sign_stability,tau_I_negEO_auc_selector_resolved,nonint_larger_negDP,nonint_larger_negEO,caveat
EDITS,GCN,bail,default,primary,controlled,,same_protocol,True,,complete,30,0.13045786931171743,0.08395942188046862,0.1781147049189862,-0.035558972817273354,-0.046044659693722144,-0.024717383493285037,-0.00901377994930151,-0.018745464884719492,0.0001630602770765893,-0.03856350297800349,-0.09884804497412804,0.010347566443864831,0.5,False,0.007302170251964043,-0.0032920629248429406,0.019948707015116973,0.6,False,0.005072728242307465,-0.0010116772913302606,0.01166504290361018,0.6666666666666666,False,0.09189436633371394,0.0111882071929218,0.16395379515601222,-0.028256802565309314,-0.04377917619812191,-0.010287661621002005,-0.003941051706994047,-0.013282173716203929,0.005166196299014953,-0.03194865992394024,-0.08993005955114136,0.014551239169215087,0.5333333333333333,False,0.00950575425992789,-0.0010821838266448257,0.02175306503556003,0.6666666666666666,False,0.006440335368644518,0.00019296096879501467,0.013034089376820929,0.7,False,True,True,the wrapper's parameter routing was repaired from its own stored values so the structural half of the intervention is active; no native cell: the repository carries no official configuration
EDITS,GCN,credit,default,primary,controlled,,same_protocol,True,,complete,30,0.01498264727900715,0.008298333006371334,0.021819601935725096,-0.2680820880358575,-0.2998370128906232,-0.23687756042508165,-0.33169524361923763,-0.3656429415154365,-0.29773468531934105,-0.01300737372395816,-0.020472563150189565,-0.0043690518415184275,0.8,True,0.20922419953234034,0.07555197685846207,0.3396007745643521,0.8666666666666667,True,0.23291161093257853,0.09730465057100603,0.3628585679359377,0.9,True,0.0019752735550489916,-0.009117035177429953,0.013679623365581305,-0.05885788850351715,-0.19170538231663384,0.0728467669393435,-0.09878363268665907,-0.2348869042268702,0.03340855226874024,-0.011848614222925886,-0.0187418035048193,-0.0037949986390056517,0.8333333333333334,True,0.17421973375084301,0.0515903278306755,0.287011830689387,0.8333333333333334,True,0.19155637926656077,0.06148522485265551,0.3095086597906395,0.8,True,True,True,the wrapper's parameter routing was repaired from its own stored values so the structural half of the intervention is active; no native cell: the repository carries no official configuration
EDITS,GCN,german,default,primary,controlled,,same_protocol,True,,complete,30,0.20149841269841273,0.16087358730158738,0.2417143492063493,-0.24076639108917966,-0.3643324185953283,-0.08971943892825357,-0.20153858355990154,-0.3370263146348965,-0.03941221753580277,-0.02890666666666665,-0.06377428571428571,0.006294349206349216,0.8333333333333334,False,0.27597799885437485,0.11787445476602916,0.3992037523747005,0.8666666666666667,True,0.2211369597484384,0.08744079142768219,0.33807121005982177,0.8666666666666667,True,0.17259174603174604,0.13069885714285712,0.21019447619047618,0.03521160776519529,-0.0184455198978739,0.09309912352057978,0.019598376188536885,-0.0453309626816152,0.09248200092182264,-0.02509714285714286,-0.05714298412698415,0.007149714285714286,0.8,False,0.28696933744309183,0.12868935996119252,0.40482012656959665,0.8666666666666667,True,0.23076238426221557,0.10060059165244112,0.3381162654526942,0.8666666666666667,True,False,False,the wrapper's parameter routing was repaired from its own stored values so the structural half of the intervention is active; no native cell: the repository carries no official configuration
FairEdit,GCN,bail,default,primary,controlled,,same_protocol,True,,complete,30,0.12014109866747481,0.07341141536541636,0.16732172515596636,-0.04026010104513955,-0.05502863363845651,-0.025016852896881936,-0.013293678118184925,-0.02340142590971115,-0.0033014243777476793,-5.905497750561631e-06,-2.2146892050073916e-05,7.621344586153281e-06,0.6333333333333333,False,4.3966670641187405e-05,-9.876384778741604e-05,0.000191049577193594,0.7,False,3.541451066885656e-05,-0.00010491383910857718,0.00020829003513407954,0.6666666666666666,False,0.12013519316972426,0.07339753967780213,0.16732055091215067,-0.040216134374498363,-0.055019029989055404,-0.024920937098463464,-0.013258263607516066,-0.023367338288191562,-0.0032276603059348823,-1.112861077179339e-06,-1.121151732774726e-05,9.661961910968536e-06,0.5666666666666667,False,-4.169221498335971e-05,-0.00015466752805307302,5.617249302002659e-05,0.5714285714285714,False,-7.693366164223334e-05,-0.0002383624648138199,0.0,1.0,False,True,True,"the repository default removes 20 of ~44k edges, so a near-zero estimate reflects the size of the intervention; no native cell: the repository carries no official configuration"
FairEdit,GCN,credit,default,primary,controlled,,same_protocol,True,,complete,30,-0.021016981143563426,-0.06669086697111799,0.0070016645994619145,0.0741219472503186,0.046974563444816916,0.10368222921738043,0.0707779887330742,0.04298534174354246,0.09990874415514074,-5.108243683660252e-07,-1.1592445261797887e-06,7.05178420750315e-08,0.5666666666666667,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,False,-0.021017491967931793,-0.06669117144480084,0.007000947381409361,0.0741219472503186,0.046974563444816916,0.10368222921738043,0.0707779887330742,0.04298534174354246,0.09990874415514074,-3.3710968417866026e-07,-1.1936434735553465e-06,5.538660512465389e-07,0.5,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,False,True,True,"the repository default removes 20 of ~44k edges, so a near-zero estimate reflects the size of the intervention; no native cell: the repository carries no official configuration"
FairEdit,GCN,german,default,primary,controlled,,same_protocol,True,,complete,30,0.10342730158730158,0.049426412698412726,0.1573715555555556,-0.1350503324583009,-0.2389873026685413,-0.035860473353722506,-0.1200279960447536,-0.23338136292386347,-0.01225008408224405,0.00014476190476189754,-2.539682539689179e-06,0.0003352380952380904,0.5652173913043478,False,0.0005512484453886617,-0.001849652566944595,0.0024935731288621464,0.8,False,6.249999999996536e-06,-0.003163076241134762,0.002394326241134744,0.6666666666666666,False,0.10357206349206348,0.049483714285714284,0.15760368253968257,-0.13449908401291222,-0.23863642010949382,-0.03529146403986937,-0.1200217460447536,-0.2337583352223868,-0.01222529829706709,-2.2857142857148533e-05,-0.0012342857142857181,0.0006120634920634973,0.6071428571428571,False,0.00016999808652839362,-0.011352392092173185,0.007690462217484026,0.8181818181818182,False,-0.0006923363198707409,-0.013959616120679938,0.00710257504420206,0.7777777777777778,False,True,True,"the repository default removes 20 of ~44k edges, so a near-zero estimate reflects the size of the intervention; no native cell: the repository carries no official configuration"
FairGB,SAGE,bail,default,primary,controlled,,same_protocol,True,,complete,30,0.12207130359207324,0.07389526392473006,0.170027322174366,-0.03123745006104372,-0.07121178242676336,0.004245368375179263,-0.033692835799144526,-0.07592443665396019,-0.0038869371066287263,0.019466089432959945,0.007167647945473477,0.030928270188511645,0.8333333333333334,True,-0.05967847882306418,-0.10817409598374039,-0.015625214406395388,0.7333333333333333,False,-0.0654411114118266,-0.11163691233885026,-0.02299047928928465,0.7666666666666667,True,0.14153739302503315,0.09494014537281929,0.18842807966286873,-0.0909159288841079,-0.14476301164009323,-0.03317953306923595,-0.09913394721097114,-0.14611061075175147,-0.052250809286854,0.013269264422424465,0.002392565539545643,0.02418534073063894,0.8,True,-0.081354373918574,-0.13486540318891804,-0.03224881244308475,0.8333333333333334,True,-0.07111087142631216,-0.10823662710549219,-0.03803360018126957,0.9,True,False,False,
FairGB,SAGE,bail,default,primary,native,targeted,controlled_fixed_reference,False,,complete,30,0.12193978828471694,0.07420799048283756,0.16960009576344953,-0.03189321793045117,-0.07245622519877377,0.003990801661723761,-0.03169861811121086,-0.07334953419866218,-0.0017511437742751882,0.062444490872115774,0.05530129055533617,0.0691246247521732,1.0,True,-0.010277096017912745,-0.036280622761011835,0.014528705666863288,0.5333333333333333,False,0.002037832208821971,-0.02003987824204889,0.02162801110972422,0.6,False,0.18438427915683273,0.13830621396115797,0.23023539706245494,-0.042170313948363916,-0.07231095411525154,-0.011787356635325204,-0.029660785902388888,-0.064523924019192,-0.00041037652618512174,0.042280930905421205,0.036524585955093704,0.04817849577406151,1.0,True,-0.010005216722781644,-0.04134196860425532,0.019389561757166877,0.5666666666666667,False,-0.024444515358517972,-0.04396948520161289,-0.00904027393352605,0.7666666666666667,True,True,True,"native protocol for the method arms only: the baseline is the fixed controlled reference trained at H = 200, so tau_I is a within-protocol contrast while tau_nonint and tau_pkg are measured against that fixed reference and are not a same-protocol B -> M contrast"
FairGB,SAGE,credit,default,primary,controlled,,same_protocol,True,,complete,30,0.028793865924667608,0.023400647128477333,0.03418363704335957,0.049219528346997526,0.016943139111765836,0.08596419684375727,0.04900456992826022,0.015233908293011434,0.08735717511890428,-0.007588469706756196,-0.010726658327673853,-0.004264721812100767,0.8333333333333334,False,0.013940207380883534,-0.01763191382186305,0.05015046665479856,0.5666666666666667,False,0.007903880457788002,-0.022386498320567428,0.042296982279308386,0.5666666666666667,False,0.021205396217911412,0.015438434535552445,0.027173882241464286,0.06315973572788107,0.027986318470525507,0.09814692171042964,0.05690845038604823,0.02362984274831935,0.09043665098844249,-0.005642631330967174,-0.007834218065659843,-0.0036448194566087804,0.9,False,-0.015680211403196077,-0.04006486493195414,0.005385888460663579,0.5,False,-0.024591807455726568,-0.053184947009081864,0.00035317987221330713,0.6,False,True,True,
FairGB,SAGE,credit,default,primary,native,targeted,controlled_fixed_reference,False,,complete,30,0.02919811203441326,0.02230119115470972,0.03645617129499344,0.0602387210207228,0.020005003274263324,0.09578581999015287,0.05762130273240931,0.015473510842694707,0.09647123952028577,0.0032477594159636652,-0.00034720654920181496,0.0071358834442578995,0.6666666666666666,False,0.08101070359283453,0.042922456373891395,0.121840006751986,0.8666666666666667,True,0.06827733372007459,0.029172537392978662,0.11035532866838146,0.8666666666666667,True,0.032445871450376924,0.02498227667334798,0.03989569830671526,0.14124942461355736,0.11694183026513018,0.1643613938848439,0.12589863645248395,0.1003524129415361,0.15056477063206458,-0.0035761816459806916,-0.006021236422348499,-0.0013067744306570056,0.8,False,0.07721984874744946,0.04545226868731082,0.11667860073430802,0.9,True,0.06807396400665496,0.035889772959012654,0.11070260683138902,0.8666666666666667,True,False,False,"native protocol for the method arms only: the baseline is the fixed controlled reference trained at H = 200, so tau_I is a within-protocol contrast while tau_nonint and tau_pkg are measured against that fixed reference and are not a same-protocol B -> M contrast"
FairGB,SAGE,german,default,primary,controlled,,same_protocol,True,,complete,30,0.16661460317460322,0.1209403174603175,0.20804768253968256,-0.14654555532371738,-0.2457170619854205,-0.03917653794062164,-0.11279093261418043,-0.22014816337646165,0.005922418013304587,0.03194920634920633,0.009963047619047576,0.05693485714285712,0.7586206896551724,True,-0.027261487455429348,-0.09533111009212276,0.031636204658468725,0.5517241379310345,False,-0.016467232365759532,-0.07482802242971659,0.03437275217208633,0.5517241379310345,False,0.19856380952380953,0.1402587619047619,0.24652961904761916,-0.17380704277914666,-0.2952672916010678,-0.03653197351766675,-0.12925816497994,-0.2513807378132991,0.01006096672741201,0.017779047619047625,0.006691999999999998,0.027633047619047623,0.7931034482758621,True,-0.07669173835889952,-0.12813473992363267,-0.028843319635388488,0.7931034482758621,True,-0.07869574495874002,-0.12875567570527027,-0.03463310086815464,0.7586206896551724,True,True,True,
FairGB,SAGE,german,default,primary,native,targeted,controlled_fixed_reference,False,,complete,30,0.21703238095238098,0.18286511111111112,0.2550991428571428,0.012663301300246167,-0.06582901374902668,0.09017278216264152,0.04725644171380136,-0.018255177286340057,0.1256995859089794,0.025706666666666666,0.013384126984126998,0.03967847619047616,0.9,True,0.020373068479004906,-0.02208046174247283,0.056551582463825925,0.6666666666666666,False,0.021555914339731155,-0.013376718938018487,0.04929570659439895,0.7241379310344828,False,0.24273904761904766,0.2096069523809523,0.2766054920634921,0.03303636977925108,-0.05333022766638375,0.11786364365370351,0.0688123560535325,0.0007977168540288006,0.1445463421151557,0.02240507936507937,0.010016190476190472,0.032845777777777765,0.8666666666666667,True,0.0772940707430155,-0.00042881623098412456,0.15761405640391254,0.7333333333333333,False,0.05604423450231155,-0.00458049453158921,0.11656178938241958,0.7931034482758621,False,False,True,"native protocol for the method arms only: the baseline is the fixed controlled reference trained at H = 200, so tau_I is a within-protocol contrast while tau_nonint and tau_pkg are measured against that fixed reference and are not a same-protocol B -> M contrast"
FairGNN,GCN,bail,default,primary,controlled,,same_protocol,True,,complete,30,0.1270230092477799,0.07997960163910094,0.17446732171136478,-0.03893293868747316,-0.04967711734542929,-0.027910707888727737,-0.014186279079654317,-0.023114765534765658,-0.006329263954610031,9.175842509176283e-05,1.2453601027120067e-05,0.00019196271641163393,0.5333333333333333,False,-5.56999503948663e-06,-0.00023013799943770897,0.00018949350997933588,0.5625,False,2.6215496747943796e-05,-0.0004473276655060164,0.0004499455171175953,0.6666666666666666,False,0.12711476767287166,0.08014374290830077,0.17450734596727208,-0.038938508682512654,-0.0496271970427549,-0.027920110987846945,-0.014160063582906373,-0.023028694296837533,-0.006450397069856496,0.0001038117628331355,2.1969121261867514e-05,0.00021809924731048709,0.7666666666666667,False,-2.7350628357100498e-06,-0.0002650349188104741,0.00025210955914473017,0.6111111111111112,False,8.064509996352666e-05,-0.00031060226888716665,0.0005079975540736374,0.5454545454545454,False,True,True,
FairGNN,GCN,credit,default,primary,controlled,,same_protocol,True,,complete,30,-0.010195509169263029,-0.02080333856919711,-0.0005097903790065729,0.0014283670902507414,-0.031203260504064464,0.035565823399584445,0.005417568983353985,-0.02856758938077511,0.04021368611484349,0.004942836345253572,-0.003951290858338689,0.013872226038785414,0.6,False,-0.01010719209497029,-0.026526576587728914,0.005214957899024715,0.6333333333333333,False,-0.01360112817595032,-0.032730592050679595,0.003666969322721092,0.6333333333333333,False,-0.005252672824009456,-0.014510315547735983,0.00471856479714235,-0.008678825004719549,-0.042391502052742586,0.028998645996528034,-0.008183559192596333,-0.0438662835684524,0.031640172354834746,-0.0019450093611575422,-0.009144555754278276,0.006176271489151403,0.6,False,0.004440751786970087,-0.01504237172528972,0.027057082369198,0.5666666666666667,False,0.00627176500307256,-0.014833565833307848,0.028573024569077322,0.6,False,False,False,
FairGNN,GCN,german,default,primary,controlled,,same_protocol,True,,complete,30,0.15202412698412704,0.09260511111111111,0.20678961904761906,-0.14295277418103094,-0.2807292289381961,-0.00010018740421047676,-0.10742592710843205,-0.24054534634879376,0.03552970528917806,-0.012782222222222212,-0.040970412698412687,0.021240571428571418,0.6333333333333333,False,0.09323584636887298,-0.001523953742560222,0.18460452123140186,0.7333333333333333,False,0.06567982244316169,-0.022954697495280573,0.14798727866634254,0.7407407407407407,False,0.13924190476190476,0.08290622222222223,0.1945206984126984,-0.049716927812157904,-0.130176232360391,0.032666690760438384,-0.041746104665270366,-0.1241469402135854,0.05008347450091147,-0.021434920634920647,-0.03330800000000002,-0.011032063492063501,0.8666666666666667,True,0.12624066220899374,0.03666018443372304,0.2106033601838004,0.7241379310344828,False,0.10403254227222807,0.007405315459517145,0.18707884433028532,0.7241379310344828,False,True,True,
